StimID,AnswerCertainty,AnswerPolarity,ContextType,count,pos,pos_min,pos_q25,pos_q50,pos_q75,pos_max,pri,pri_min,pri_q25,pri_q50,pri_q75,pri_max,rel,rel_min,rel_q25,rel_q50,rel_q75,rel_max,bch,bch_min,bch_q25,bch_q50,bch_q75,bch_max,ech,ech_min,ech_q25,ech_q50,ech_q75,ech_max,klu,klu_min,klu_q25,klu_q50,klu_q75,klu_max,bfu,bfu_min,bfu_q25,bfu_q50,bfu_q75,bfu_max,Answer,Context,CriticalProposition,YourQuestion,YourQuestionIntro,AnswerIntro
3,exhaustive,positive,negative,6.00,"[0.71, 0.98, 1.0, 1.0, 1.0, 1.0]",0.71,0.98,1.00,1.00,1.00,"[0.23, 0.31, 0.38, 0.4, 0.5, 0.52]",0.23,0.33,0.39,0.47,0.52,"[0.67, 0.98, 1.0, 1.0, 1.0, 1.0]",0.67,0.98,1.00,1.00,1.00,"[0.4, 0.48, 0.5, 0.6000000000000001, 0.62, 0.75]",0.40,0.48,0.55,0.61,0.75,"[0.024452212, 0.636570761, 0.9580420222, 0.9709505945, 0.998845536, 1.0]",0.02,0.72,0.96,0.99,1.00,"[0.6735501079, 0.8860843144, 0.9, 0.9523490125, 0.9598143198, 0.9886234442]",0.67,0.89,0.93,0.96,0.99,"[0.8164931619, 0.9939040551, 1.0, 1.0, 1.0, 1.0]",0.82,1.00,1.00,1.00,1.00,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,exhaustive,positive,neutral,9.00,"[0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.99,1.00,1.00,1.00,1.00,"[0.45, 0.49, 0.5, 0.5, 0.5, 0.51, 0.51, 0.6000000000000001, 0.85]",0.45,0.50,0.50,0.51,0.85,"[0.93, 0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.93,0.99,1.00,1.00,1.00,"[0.15, 0.4, 0.48, 0.49, 0.5, 0.5, 0.5, 0.5, 0.55]",0.15,0.48,0.50,0.50,0.55,"[0.6098403047000001, 0.9189183059, 0.9189183059, 0.9709505945, 0.992774454, 0.9997114418, 1.0, 1.0, 1.0]",0.61,0.92,0.99,1.00,1.00,"[0.4171795977, 0.8167540412000001, 0.8715349077000001, 0.8872221151, 0.8932005165, 0.9, 0.9, 0.9, 0.929531195]",0.42,0.87,0.89,0.90,0.93,"[0.9894867038, 0.9902951079, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.99,1.00,1.00,1.00,1.00,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,exhaustive,positive,positive,16.00,"[0.88, 0.94, 0.95, 0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.88,0.99,1.00,1.00,1.00,"[0.5, 0.5, 0.51, 0.51, 0.6000000000000001, 0.65, 0.67, 0.67, 0.7000000000000001, 0.7000000000000001, 0.73, 0.73, 0.79, 0.8, 0.9, 1.0]",0.50,0.58,0.69,0.74,1.00,"[0.87, 0.95, 0.97, 0.97, 0.99, 0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.87,0.98,1.00,1.00,1.00,"[0.0, 0.1, 0.2, 0.21, 0.26, 0.27, 0.3, 0.3, 0.33, 0.33, 0.35, 0.37, 0.39, 0.43, 0.45, 0.5]",0.00,0.25,0.32,0.38,0.50,"[0.0, 0.4689955936, 0.4703505765, 0.6722665226, 0.7136030429, 0.7219280949, 0.7414827399, 0.7606715003000001, 0.8414646362, 0.8812908992, 0.8812908992, 0.8901574586000001, 0.9149263728, 0.9149263728, 0.9340680554, 1.0]",0.00,0.70,0.80,0.90,1.00,"[0.0, 0.2953119505, 0.5234901251, 0.5429912046, 0.590350778, 0.6443652768, 0.6484651637000001, 0.6942075016, 0.6942075016, 0.73561732, 0.73561732, 0.7609374084, 0.7748089419, 0.7822400958, 0.8066265003, 0.9]",0.00,0.58,0.69,0.76,0.90,"[0.0, 0.8580705009, 0.9335649153, 0.9473684211, 0.9726898616, 0.9848484848, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.00,0.97,1.00,1.00,1.00,He's married to his high school sweetheart.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,negative,negative,5.00,"[0.05, 0.09, 0.1, 0.2, 0.25]",0.05,0.09,0.10,0.20,0.25,"[0.29, 0.3, 0.4, 0.75, 0.78]",0.29,0.30,0.40,0.75,0.78,"[0.72, 0.75, 0.78, 0.92, 0.95]",0.72,0.75,0.78,0.92,0.95,"[0.2, 0.25, 0.3, 0.53, 0.55]",0.20,0.25,0.30,0.53,0.55,"[0.0511106215, 0.0893500296, 0.4322514293, 0.5019550009, 0.5948939421]",0.05,0.09,0.43,0.50,0.59,"[0.3299583559, 0.4863063902, 0.5284434851, 0.8788436438, 0.8906243631]",0.33,0.49,0.53,0.88,0.89,"[0.7578628268000001, 0.8333333333, 0.8771929825, 0.905982906, 0.9166666667]",0.76,0.83,0.88,0.91,0.92,I just saw him on a dating app.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,negative,neutral,9.00,"[0.1, 0.15, 0.2, 0.2, 0.2, 0.3, 0.3, 0.34, 0.4]",0.10,0.20,0.20,0.30,0.40,"[0.49, 0.5, 0.5, 0.5, 0.5, 0.53, 0.55, 0.61, 0.7000000000000001]",0.49,0.50,0.50,0.55,0.70,"[0.5, 0.6000000000000001, 0.62, 0.65, 0.68, 0.72, 0.75, 0.8, 0.8200000000000001]",0.50,0.62,0.68,0.75,0.82,"[0.19, 0.19, 0.25, 0.3, 0.3, 0.3, 0.3, 0.4, 0.46]",0.19,0.25,0.30,0.30,0.46,"[0.0725828836, 0.0896596952, 0.1114835548, 0.1184205425, 0.2780719051, 0.2780719051, 0.2780719051, 0.3549592438, 0.5310044064]",0.07,0.11,0.28,0.28,0.53,"[0.2156965744, 0.2191899366, 0.3451530774, 0.4716253553, 0.4728574236, 0.4728574236, 0.4728574236, 0.7055608241, 0.7770607162000001]",0.22,0.35,0.47,0.47,0.78,"[0.5431675243, 0.5539358601000001, 0.6493506494, 0.7142857143, 0.75, 0.75, 0.75, 0.8871745419, 0.8888888889000001]",0.54,0.65,0.75,0.75,0.89,I just saw him on a dating app.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,negative,positive,10.00,"[0.06, 0.08, 0.1, 0.15, 0.19, 0.2, 0.33, 0.4, 0.5, 0.55]",0.06,0.11,0.20,0.38,0.55,"[0.5, 0.5, 0.5, 0.5, 0.54, 0.65, 0.68, 0.71, 0.79, 0.8]",0.50,0.50,0.59,0.70,0.80,"[0.5, 0.53, 0.6000000000000001, 0.7000000000000001, 0.78, 0.78, 0.84, 0.85, 0.85, 0.98]",0.50,0.63,0.78,0.85,0.98,"[0.0, 0.1, 0.16, 0.21, 0.35, 0.42, 0.46, 0.48, 0.7000000000000001, 0.73]",0.00,0.17,0.39,0.47,0.73,"[0.0, 0.0290494055, 0.080452066, 0.1240532076, 0.1824533628, 0.2325965955, 0.2529325013, 0.3901596953, 0.4140378208, 0.5978208098000001]",0.00,0.09,0.21,0.36,0.60,"[0.0, 0.064700732, 0.1732568072, 0.2570329231, 0.5927694933000001, 0.7475477823000001, 0.7727078701000001, 0.8025011945, 0.9777634453, 0.9844906373]",0.00,0.19,0.67,0.80,0.98,"[0.0, 0.3333333333, 0.5007824726, 0.5804311774, 0.8235294118, 0.873694207, 0.8823529412000001, 0.9130434783, 0.9722222222, 0.9830325882]",0.00,0.52,0.85,0.91,0.98,I just saw him on a dating app.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,positive,negative,7.00,"[0.65, 0.8300000000000001, 0.85, 0.85, 0.88, 0.9, 1.0]",0.65,0.84,0.85,0.89,1.00,"[0.2, 0.3, 0.3, 0.36, 0.43, 0.5, 0.61]",0.20,0.30,0.36,0.46,0.61,"[0.24, 0.77, 0.81, 0.9, 0.92, 1.0, 1.0]",0.24,0.79,0.90,0.96,1.00,"[0.04, 0.4, 0.4, 0.52, 0.55, 0.65, 0.7000000000000001]",0.04,0.40,0.52,0.60,0.70,"[0.0307314931, 0.1120877902, 0.2714505945, 0.3281102584, 0.413322324, 0.5310044064, 0.8812908992]",0.03,0.19,0.33,0.47,0.88,"[0.0112604383, 0.6769723948, 0.7055608241, 0.8570978783000001, 0.8861760707, 0.9612820629, 0.9816754041]",0.01,0.69,0.86,0.92,0.98,"[0.157790927, 0.8454872120000001, 0.8888888889000001, 0.9232954545, 0.9243697479, 0.9558823529, 1.0]",0.16,0.87,0.92,0.94,1.00,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,positive,neutral,11.00,"[0.45, 0.71, 0.73, 0.75, 0.75, 0.75, 0.8, 0.95, 1.0, 1.0, 1.0]",0.45,0.74,0.75,0.97,1.00,"[0.3, 0.47, 0.49, 0.5, 0.5, 0.5, 0.5, 0.5, 0.51, 0.55, 0.6000000000000001]",0.30,0.49,0.50,0.51,0.60,"[0.6000000000000001, 0.65, 0.67, 0.75, 0.77, 0.8, 0.85, 0.95, 1.0, 1.0, 1.0]",0.60,0.71,0.80,0.97,1.00,"[0.15, 0.15, 0.2, 0.22, 0.25, 0.26, 0.3, 0.45, 0.49, 0.5, 0.5]",0.15,0.21,0.26,0.47,0.50,"[0.1114835548, 0.1309901954, 0.1559369524, 0.15967247, 0.1814963295, 0.1887218755, 0.2780719051, 0.7136030429, 0.9997114418, 1.0, 1.0]",0.11,0.16,0.19,0.86,1.00,"[0.152529301, 0.1526323008, 0.247675866, 0.2816892019, 0.352442818, 0.3704984107, 0.4728574236, 0.8066265003, 0.8932005165, 0.9, 0.9]",0.15,0.26,0.37,0.85,0.90,"[0.4761904762, 0.5, 0.5925925926, 0.6075669705, 0.6666666667000001, 0.6720082709, 0.75, 0.9473684211, 1.0, 1.0, 1.0]",0.48,0.60,0.67,0.97,1.00,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,high_certainty,positive,positive,8.00,"[0.68, 0.9, 0.9, 0.95, 0.95, 0.99, 1.0, 1.0]",0.68,0.90,0.95,0.99,1.00,"[0.51, 0.5700000000000001, 0.6000000000000001, 0.63, 0.64, 0.75, 0.8300000000000001, 0.9]",0.51,0.59,0.64,0.77,0.90,"[0.8, 0.81, 0.9, 0.94, 0.95, 0.95, 1.0, 1.0]",0.80,0.88,0.94,0.96,1.00,"[0.04, 0.09, 0.12, 0.2, 0.3, 0.37, 0.39, 0.43]",0.04,0.11,0.25,0.38,0.43,"[0.0383017315, 0.3713078216, 0.3882024577, 0.5019550009, 0.5248811673, 0.5307158482000001, 0.9506720927, 0.9858150372]",0.04,0.38,0.51,0.64,0.99,"[0.0116716154, 0.1997948001, 0.2109749482, 0.3804001088, 0.5284434851, 0.6896918401000001, 0.7845116808, 0.8454625206]",0.01,0.21,0.45,0.71,0.85,"[0.1633986928, 0.7430340557, 0.8333333333, 0.8421052632, 0.8843537415, 0.9090909091, 1.0, 1.0]",0.16,0.81,0.86,0.93,1.00,He's wearing a ring.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,negative,negative,11.00,"[0.07, 0.1, 0.2, 0.24, 0.25, 0.25, 0.28, 0.3, 0.31, 0.39, 0.5700000000000001]",0.07,0.22,0.25,0.30,0.57,"[0.15, 0.39, 0.4, 0.4, 0.4, 0.41, 0.42, 0.5, 0.5, 0.5, 0.53]",0.15,0.40,0.41,0.50,0.53,"[0.19, 0.55, 0.6000000000000001, 0.6000000000000001, 0.63, 0.63, 0.65, 0.6900000000000001, 0.72, 0.88, 0.93]",0.19,0.60,0.63,0.71,0.93,"[0.07, 0.08, 0.09, 0.11, 0.11, 0.15, 0.15, 0.2, 0.25, 0.26, 0.31]",0.07,0.10,0.15,0.23,0.31,"[0.0141849628, 0.0352004515, 0.0835086493, 0.0882804367, 0.141950778, 0.15967247, 0.15967247, 0.2049597206, 0.2439166538, 0.2490224996, 0.5075048752]",0.01,0.09,0.16,0.22,0.51,"[0.0321344383, 0.0568701045, 0.0778542935, 0.0817888624, 0.0957607103, 0.1526323008, 0.1526323008, 0.2621467397, 0.3472959293, 0.3762073125, 0.5478595641]",0.03,0.08,0.15,0.30,0.55,"[0.2456140351, 0.3296703297, 0.3606557377, 0.3795721187, 0.5, 0.5, 0.5734767025, 0.625, 0.6551362683, 0.6842105263, 0.8401084011000001]",0.25,0.37,0.50,0.64,0.84,He went to the company picnic without a plus-one.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,negative,neutral,10.00,"[0.15, 0.2, 0.33, 0.4, 0.4, 0.4, 0.41, 0.5, 0.75, 0.76]",0.15,0.35,0.40,0.48,0.76,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.51, 0.6000000000000001]",0.50,0.50,0.50,0.50,0.60,"[0.2, 0.4, 0.46, 0.5, 0.59, 0.66, 0.7000000000000001, 0.71, 0.75, 0.78]",0.20,0.47,0.62,0.71,0.78,"[0.0, 0.1, 0.1, 0.1, 0.1, 0.25, 0.26, 0.27, 0.3, 0.35]",0.00,0.10,0.17,0.27,0.35,"[0.0, 0.023210973, 0.0290494055, 0.0290494055, 0.0290494055, 0.0560242217, 0.1887218755, 0.2049597206, 0.2780719051, 0.3901596953]",0.00,0.03,0.04,0.20,0.39,"[0.0, 0.0645566818, 0.064700732, 0.064700732, 0.064700732, 0.352442818, 0.3762073125, 0.3890074664, 0.4728574236, 0.5927694933000001]",0.00,0.06,0.21,0.39,0.59,"[0.0, 0.3323363244, 0.3333333333, 0.3333333333, 0.3333333333, 0.6666666667000001, 0.671641791, 0.6842105263, 0.75, 0.8235294118]",0.00,0.33,0.50,0.68,0.82,He went to the company picnic without a plus-one.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,negative,positive,12.00,"[0.24, 0.3, 0.41, 0.5, 0.54, 0.6000000000000001, 0.64, 0.67, 0.75, 0.77, 0.8, 0.81]",0.24,0.48,0.62,0.76,0.81,"[0.5, 0.61, 0.65, 0.7000000000000001, 0.7000000000000001, 0.71, 0.73, 0.76, 0.8, 0.8300000000000001, 0.88, 1.0]",0.50,0.69,0.72,0.81,1.00,"[0.23, 0.31, 0.34, 0.35, 0.51, 0.5700000000000001, 0.58, 0.6000000000000001, 0.6000000000000001, 0.62, 0.68, 0.71]",0.23,0.35,0.57,0.61,0.71,"[0.0, 0.02, 0.05, 0.07, 0.1, 0.11, 0.19, 0.2, 0.22, 0.31, 0.42, 0.49]",0.00,0.07,0.15,0.24,0.49,"[0.0, 0.0191416826, 0.0290494055, 0.0464243568, 0.0700127748, 0.0739619429, 0.0835086493, 0.1187091008, 0.2003381594, 0.2486504383, 0.31879569, 0.7014714599]",0.00,0.04,0.08,0.21,0.70,"[0.0, 0.0029429393, 0.0202690082, 0.0371950505, 0.064700732, 0.1440294255, 0.2514331054, 0.3168975285, 0.4794799487, 0.7719586926, 0.8219850464, 1.0]",0.00,0.03,0.20,0.55,1.00,"[0.0, 0.0852878465, 0.2222222222, 0.2738654147, 0.3333333333, 0.5434782609000001, 0.5714285714, 0.6292906178000001, 0.7259953162, 0.85766796, 0.8832011536000001, 1.0]",0.00,0.26,0.56,0.76,1.00,He went to the company picnic without a plus-one.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,positive,negative,8.00,"[0.4, 0.47, 0.49, 0.5, 0.5, 0.5, 0.52, 0.6000000000000001]",0.40,0.48,0.50,0.51,0.60,"[0.21, 0.25, 0.3, 0.35, 0.48, 0.5, 0.5, 0.6000000000000001]",0.21,0.29,0.41,0.50,0.60,"[0.0, 0.11, 0.13, 0.21, 0.25, 0.6000000000000001, 0.6000000000000001, 0.63]",0.00,0.12,0.23,0.60,0.63,"[0.0, 0.0, 0.01, 0.02, 0.12, 0.19, 0.2, 0.25]",0.00,0.01,0.07,0.19,0.25,"[0.0, 0.0, 0.0008659058, 0.001154464, 0.0633335332, 0.1187091008, 0.1887218755, 0.2294678545]",0.00,0.00,0.03,0.14,0.23,"[0.0, 0.0, 0.0006649183, 0.0026547216, 0.0960105592, 0.2514331054, 0.2649957967, 0.3798721295]",0.00,0.00,0.05,0.25,0.38,"[0.0, 0.0, 0.0392464678, 0.0769230769, 0.3927986907, 0.5714285714, 0.6012658228000001, 0.6666666667000001]",0.00,0.03,0.23,0.58,0.67,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,positive,neutral,8.00,"[0.33, 0.4, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.8]",0.33,0.47,0.58,0.66,0.80,"[0.25, 0.33, 0.43, 0.48, 0.5, 0.5, 0.51, 0.65]",0.25,0.41,0.49,0.50,0.65,"[0.0, 0.05, 0.14, 0.15, 0.31, 0.41, 0.45, 0.7000000000000001]",0.00,0.12,0.23,0.42,0.70,"[0.0, 0.0, 0.0, 0.04, 0.15, 0.17, 0.2, 0.32]",0.00,0.00,0.10,0.18,0.32,"[0.0, 0.0, 0.0, 0.0069369878, 0.0148644427, 0.1187091008, 0.15967247, 0.2769174411]",0.00,0.00,0.01,0.13,0.28,"[0.0, 0.0, 0.0, 0.0106006239, 0.1645353191, 0.1758443066, 0.2391642705, 0.5145663822000001]",0.00,0.00,0.09,0.19,0.51,"[0.0, 0.0, 0.0, 0.1484230056, 0.4970760234, 0.5, 0.5714285714, 0.7692307692]",0.00,0.00,0.32,0.52,0.77,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,low_certainty,positive,positive,6.00,"[0.5, 0.5, 0.55, 0.75, 0.8, 0.94]",0.50,0.51,0.65,0.79,0.94,"[0.5, 0.5, 0.55, 0.6900000000000001, 0.7000000000000001, 0.8]",0.50,0.51,0.62,0.70,0.80,"[0.0, 0.0, 0.1, 0.15, 0.36, 0.61]",0.00,0.03,0.12,0.31,0.61,"[0.0, 0.0, 0.0, 0.0, 0.05, 0.25]",0.00,0.00,0.00,0.04,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0700127748, 0.5657285392]",0.00,0.00,0.00,0.05,0.57,"[0.0, 0.0, 0.0, 0.0, 0.0202690082, 0.4717329811]",0.00,0.00,0.00,0.02,0.47,"[0.0, 0.0, 0.0, 0.0, 0.2222222222, 0.8579272478000001]",0.00,0.00,0.00,0.17,0.86,He lives in the suburbs.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,non_answer,positive,negative,4.00,"[0.15, 0.3, 0.35, 0.5]",0.15,0.26,0.32,0.39,0.50,"[0.15, 0.3, 0.3, 0.35]",0.15,0.26,0.30,0.31,0.35,"[0.0, 0.02, 0.13, 0.15]",0.00,0.01,0.07,0.14,0.15,"[0.0, 0.0, 0.0, 0.2]",0.00,0.00,0.00,0.05,0.20,"[0.0, 0.0, 0.0, 0.1187091008]",0.00,0.00,0.00,0.03,0.12,"[0.0, 0.0, 0.0, 0.2514331054]",0.00,0.00,0.00,0.06,0.25,"[-2.2204460489999999e-16, 0.0, 0.0, 0.5714285714]",-0.00,-0.00,0.00,0.14,0.57,He works in the HR department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, he always works late, and goes to happy hour every week.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,non_answer,positive,neutral,7.00,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.51, 0.52]",0.50,0.50,0.50,0.51,0.52,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.51, 0.51]",0.50,0.50,0.50,0.51,0.51,"[0.0, 0.0, 0.0, 0.01, 0.03, 0.05, 0.22]",0.00,0.00,0.01,0.04,0.22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01]",0.00,0.00,0.00,0.00,0.01,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008659058]",0.00,0.00,0.00,0.00,0.00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006646523]",0.00,0.00,0.00,0.00,0.00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0392464678]",0.00,0.00,0.00,0.00,0.04,He works in the HR department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
3,non_answer,positive,positive,10.00,"[0.5, 0.5, 0.53, 0.6000000000000001, 0.6000000000000001, 0.65, 0.73, 0.8, 0.89, 0.92]",0.50,0.55,0.62,0.78,0.92,"[0.5, 0.5, 0.55, 0.62, 0.65, 0.6900000000000001, 0.73, 0.8, 0.9, 0.92]",0.50,0.57,0.67,0.78,0.92,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.14, 0.18]",0.00,0.00,0.00,0.02,0.18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.09]",0.00,0.00,0.00,0.02,0.09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0046271346, 0.0129085722, 0.0309203646, 0.0777771361]",0.00,0.00,0.00,0.01,0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017918427, 0.0026743189, 0.0027978727, 0.0583541366]",0.00,0.00,0.00,0.00,0.06,"[-2.2204460489999999e-16, 0.0, 0.0, 0.0, 0.0, 1.1102230249999998e-16, 0.0773694391, 0.0806451613, 0.101010101, 0.3260869565]",-0.00,0.00,0.00,0.08,0.33,He works in the HR department.,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married it would be pretty awkward, and you heard he has two children.",Joe is married,Is Joe married?,You ask your coworker Laura:,Laura responds:
4,exhaustive,negative,negative,5.00,"[0.0, 0.0, 0.01, 0.05, 1.0]",0.00,0.00,0.01,0.05,1.00,"[0.05, 0.23, 0.25, 0.5, 0.51]",0.05,0.23,0.25,0.50,0.51,"[0.73, 0.96, 1.0, 1.0, 1.0]",0.73,0.96,1.00,1.00,1.00,"[0.05, 0.23, 0.24, 0.46, 0.5]",0.05,0.23,0.24,0.46,0.50,"[0.2863969571, 0.7133144846, 0.7304849886, 0.7780113035, 1.0]",0.29,0.71,0.73,0.78,1.00,"[0.1566663713, 0.553413067, 0.5803083286, 0.8179727591, 0.9]",0.16,0.55,0.58,0.82,0.90,"[0.9494324045, 0.9696969697, 1.0, 1.0, 1.0]",0.95,0.97,1.00,1.00,1.00,She's from Amsterdam.,"You're planning a vacation to Madrid, and you need a local's advice on what to do. You and your friend met a woman named Maria at a party the other day, but you don't remember where she's from.",Maria is from Madrid,Is Maria from Madrid?,You ask your friend Chris:,Chris responds:
4,exhaustive,negative,neutral,15.00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.05, 0.07, 0.08, 0.1, 0.18, 0.23]",0.00,0.00,0.01,0.07,0.23,"[0.1, 0.11, 0.2, 0.24, 0.3, 0.36, 0.39, 0.41, 0.5, 0.56, 0.6000000000000001, 0.61, 0.65, 0.68, 0.7000000000000001]",0.10,0.27,0.41,0.60,0.70,"[0.61, 0.78, 0.91, 0.94, 0.97, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.61,0.95,1.00,1.00,1.00,"[0.06, 0.1, 0.13, 0.16, 0.3, 0.36, 0.38, 0.39, 0.41, 0.47, 0.5, 0.55, 0.6000000000000001, 0.6000000000000001, 0.67]",0.06,0.23,0.39,0.53,0.67,"[0.186788245, 0.213519001, 0.2539910096, 0.356004444, 0.3928610892, 0.4122953056, 0.4689955936, 0.8235883218000001, 0.8812908992, 0.9087943853, 0.9426831893, 0.9647995485, 0.9709505945, 0.9765004688, 1.0]",0.19,0.37,0.82,0.95,1.00,"[0.0721898748, 0.1983301399, 0.2531845176, 0.2953119505, 0.6301850959, 0.6942075016, 0.7729383391, 0.7880374497, 0.8064107899, 0.8267046699, 0.9, 0.9205950096, 0.9285060583, 0.9523490125, 0.9719578328]",0.07,0.46,0.79,0.91,0.97,"[0.5741626794, 0.6989247312, 0.7246376812, 0.8090270385, 0.8818011257, 0.9523809524, 0.9920634921, 0.9952465835, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.57,0.85,1.00,1.00,1.00,She's from Amsterdam.,"You're planning a vacation to Madrid, and you need a local's advice on what to do. You and your friend were at a party the other day, where you were talking about Spanish food with a woman named Maria.",Maria is from Madrid,Is Maria from Madrid?,You ask your friend Chris:,Chris responds:
