submission_id,AnswerCertainty,AnswerPolarity,ContextType,StimID,TaskType,TrialType,age,certainty_max,certainty_min,comments,education,experimentType,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,p_max,p_min,prolific_pid,prolific_session_id,prolific_study_id,responseTime,sliderResponse,trialNr
816,low_certainty,positive,neutral,2,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,11192,56,11
816,non_answer,N/A,negative,3,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,12480,0,12
816,NA,NA,NA,4,relevance,attention,52,2,2,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,0.05,0,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,9872,0,13
816,low_certainty,positive,positive,4,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,252544,1741778095527,1741777842983,other,relevant,English,NA,NA,5e4bc0c29b9a2e01310c6506,67d16b6b1e13c598cee5894e,67d161cf3bffdf1fcef74f61,8944,1,14
818,NA,NA,NA,2,relevance,practice,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,30703,70,1
818,NA,NA,NA,3,relevance,practice,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,22163,40,2
818,NA,NA,NA,4,relevance,practice,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,17151,0,3
818,NA,NA,NA,5,relevance,practice,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,13407,96,4
818,high_certainty,negative,negative,10,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,21804,40,1
818,NA,NA,NA,3,relevance,reasoning,41,10,0,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,1,0.9,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,22486,90,2
818,low_certainty,negative,positive,8,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,18643,60,3
818,non_answer,N/A,neutral,1,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,16862,10,4
818,high_certainty,positive,negative,11,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,14678,80,5
818,NA,NA,NA,3,relevance,attention,41,6,6,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,1,0.95,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,27418,100,6
818,low_certainty,positive,positive,9,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,20607,40,7
818,low_certainty,negative,negative,5,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,15001,60,8
818,NA,NA,NA,4,relevance,reasoning,41,10,0,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,0.1,0,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,33581,5,9
818,exhaustive,negative,positive,6,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,23681,95,10
818,non_answer,N/A,neutral,4,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,10752,0,11
818,high_certainty,positive,neutral,12,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,19511,10,12
818,NA,NA,NA,4,relevance,attention,41,2,2,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,0.05,0,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,29714,0,13
818,exhaustive,positive,positive,3,relevance,main,41,NA,NA,,Higher degree,relevance_only,474608,1741778115068,1741777640460,male,relevant,English,NA,NA,5d588e3c7e1b9500018ae948,67d16a05bc7a808d364da276,67d161cf3bffdf1fcef74f61,24949,100,14
821,NA,NA,NA,2,relevance,practice,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,26067,80,1
821,NA,NA,NA,3,relevance,practice,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,44044,42,2
821,NA,NA,NA,4,relevance,practice,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,13652,0,3
821,NA,NA,NA,5,relevance,practice,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,14442,100,4
821,high_certainty,positive,neutral,1,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,23612,70,1
821,NA,NA,NA,3,relevance,reasoning,40,10,0,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,1,0.9,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,22482,100,2
821,exhaustive,positive,neutral,6,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,11806,100,3
821,high_certainty,positive,positive,4,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,21697,79,4
821,high_certainty,negative,negative,7,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,21870,61,5
821,NA,NA,NA,3,relevance,attention,40,6,6,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,1,0.95,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,22079,100,6
821,exhaustive,negative,positive,9,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,19333,100,7
821,non_answer,N/A,neutral,11,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,11561,0,8
821,NA,NA,NA,4,relevance,reasoning,40,10,0,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,0.1,0,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,39496,1,9
821,non_answer,N/A,positive,8,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,9782,0,10
821,low_certainty,negative,negative,10,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,64171,24,11
821,high_certainty,negative,negative,5,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,7473,70,12
821,NA,NA,NA,4,relevance,attention,40,2,2,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,0.05,0,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,5583,100,13
821,low_certainty,positive,negative,12,relevance,main,40,NA,NA,,Graduated College,relevance_only,415902,1741778156170,1741777740268,female,relevant,english,NA,NA,6613f7a0f00c48288ff506bf,67d16b42050ecfd766de3496,67d161cf3bffdf1fcef74f61,8758,0,14
817,NA,NA,NA,2,relevance,practice,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,26408,17,1
817,NA,NA,NA,3,relevance,practice,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,20935,15,2
817,NA,NA,NA,4,relevance,practice,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,11129,5,3
817,NA,NA,NA,5,relevance,practice,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,11759,94,4
817,low_certainty,negative,positive,3,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,13144,27,1
817,NA,NA,NA,3,relevance,reasoning,37,10,0,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,1,0.9,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,12559,91,2
817,high_certainty,positive,neutral,10,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,14112,7,3
817,high_certainty,positive,negative,11,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,14000,84,4
817,low_certainty,negative,negative,6,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,13512,41,5
817,NA,NA,NA,3,relevance,attention,37,6,6,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,1,0.95,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,12480,99,6
817,exhaustive,positive,positive,8,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,18056,88,7
817,non_answer,N/A,positive,1,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,14360,2,8
817,NA,NA,NA,4,relevance,reasoning,37,10,0,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,0.1,0,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,15048,1,9
817,exhaustive,negative,neutral,5,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,14304,96,10
817,non_answer,N/A,neutral,7,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,19872,1,11
817,low_certainty,positive,negative,4,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,13280,6,12
817,NA,NA,NA,4,relevance,attention,37,2,2,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,0.05,0,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,95608,0,13
817,high_certainty,negative,positive,9,relevance,main,37,NA,NA,,Higher degree,relevance_only,373556,1741778099712,1741777726156,female,relevant,English,NA,NA,63d439df44f39695eef3023e,67d16b342d346c233dfb1549,67d161cf3bffdf1fcef74f61,9440,21,14
819,NA,NA,NA,2,relevance,practice,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,19131,68,1
819,NA,NA,NA,3,relevance,practice,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,20316,28,2
819,NA,NA,NA,4,relevance,practice,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,6749,0,3
819,NA,NA,NA,5,relevance,practice,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,10365,100,4
819,non_answer,N/A,positive,7,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,27392,0,1
819,NA,NA,NA,3,relevance,reasoning,53,10,0,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,1,0.9,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,14031,100,2
819,low_certainty,negative,positive,5,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,16513,65,3
819,low_certainty,positive,negative,8,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,17627,57,4
819,high_certainty,positive,neutral,1,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,16767,40,5
819,NA,NA,NA,3,relevance,attention,53,6,6,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,1,0.95,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,22299,100,6
819,exhaustive,negative,neutral,2,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,12547,100,7
819,exhaustive,positive,negative,11,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,19868,100,8
819,NA,NA,NA,4,relevance,reasoning,53,10,0,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,0.1,0,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,20897,10,9
819,high_certainty,positive,positive,3,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,16943,60,10
819,non_answer,N/A,negative,12,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,12833,1,11
819,high_certainty,negative,neutral,4,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,12548,10,12
819,NA,NA,NA,4,relevance,attention,53,2,2,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,0.05,0,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,18198,0,13
819,exhaustive,positive,negative,9,relevance,main,53,NA,NA,,Graduated High-school,relevance_only,334578,1741778137097,1741777802519,male,relevant,English,NA,NA,60013e83ea8d5829a85748e7,67d16b82050ecfd766de34a6,67d161cf3bffdf1fcef74f61,16116,100,14
829,NA,NA,NA,2,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,24188,92,1
829,NA,NA,NA,3,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,30135,32,2
829,NA,NA,NA,4,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,13275,0,3
829,NA,NA,NA,5,relevance,practice,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,12787,100,4
829,high_certainty,positive,positive,9,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,16463,100,1
829,NA,NA,NA,3,relevance,reasoning,52,10,0,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,1,0.9,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,14656,100,2
829,low_certainty,negative,positive,2,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,13244,0,3
829,non_answer,N/A,neutral,7,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,20805,0,4
829,low_certainty,negative,negative,4,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,15893,15,5
829,NA,NA,NA,3,relevance,attention,52,6,6,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,1,0.95,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,22018,100,6
829,exhaustive,negative,neutral,12,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,12084,100,7
829,high_certainty,negative,neutral,5,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,17685,77,8
829,NA,NA,NA,4,relevance,reasoning,52,10,0,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,0.1,0,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,22972,20,9
829,exhaustive,negative,negative,8,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,16732,100,10
829,low_certainty,positive,positive,1,relevance,main,52,NA,NA,,Graduated High-school,relevance_only,347378,1741778242578,1741777895200,male,relevant,English,NA,NA,66640de47db5e38fe0ea186d,67d16bdd570e9671d4ae6ffc,67d161cf3bffdf1fcef74f61,16971,64,11
